ticket_id,category,ticket_text
TICKET00000,General Inquiry,Do you offer student discounts on annual plans?
TICKET00001,Shipping/Delivery,Can you tell me when my order will actually ship?
TICKET00002,General Inquiry,Do you offer student discounts on annual plans?
TICKET00003,Billing,"My invoice shows an incorrect amount, can someone check this?"
TICKET00004,Account Access,I can't access my account from my new phone.
TICKET00005,Billing,This is the third time I've been overcharged. Extremely frustrating.
TICKET00006,Billing,This is the third time I've been overcharged. Extremely frustrating.
TICKET00007,Billing,I need a receipt for last month's payment for my records.
TICKET00008,Account Access,"Someone please unlock my account, I've been trying for an hour."
TICKET00009,General Inquiry,"Loved the recent update, just wanted to say the new dashboard looks great."
TICKET00010,Billing,"I was charged twice for my subscription this month, please refund the extra charge."
TICKET00011,Billing,I need a receipt for last month's payment for my records.
TICKET00012,Billing,Why is my bill higher than usual? I did not change my plan.
TICKET00013,Billing,"My invoice shows an incorrect amount, can someone check this?"
TICKET00014,General Inquiry,Do you offer student discounts on annual plans?
TICKET00015,Shipping/Delivery,Can you tell me when my order will actually ship?
TICKET00016,Billing,I need a receipt for last month's payment for my records.
TICKET00017,Billing,"My invoice shows an incorrect amount, can someone check this?"
TICKET00018,Billing,"I was charged twice for my subscription this month, please refund the extra charge."
TICKET00019,General Inquiry,"Loved the recent update, just wanted to say the new dashboard looks great."
TICKET00020,General Inquiry,"Thanks for the quick help earlier, just confirming the update went through."
TICKET00021,Technical Issue,"Login page won't load, tried on two browsers already."
TICKET00022,Billing,This is the third time I've been overcharged. Extremely frustrating.
TICKET00023,Billing,This is the third time I've been overcharged. Extremely frustrating.
TICKET00024,Shipping/Delivery,"The package arrived damaged, very disappointed with the packaging."
TICKET00025,Shipping/Delivery,Can you tell me when my order will actually ship?
TICKET00026,Shipping/Delivery,"The package arrived damaged, very disappointed with the packaging."
TICKET00027,Shipping/Delivery,Can you tell me when my order will actually ship?
TICKET00028,General Inquiry,What are your customer support hours on weekends?
TICKET00029,Technical Issue,"Login page won't load, tried on two browsers already."
TICKET00030,Technical Issue,"I can't upload files anymore, getting an error message constantly."
TICKET00031,Technical Issue,The website has been down for me since this morning.
TICKET00032,Shipping/Delivery,Tracking says delivered but I never received anything.
TICKET00033,Account Access,"Someone please unlock my account, I've been trying for an hour."
TICKET00034,Shipping/Delivery,Tracking says delivered but I never received anything.
TICKET00035,Billing,This is the third time I've been overcharged. Extremely frustrating.
TICKET00036,Shipping/Delivery,"The package arrived damaged, very disappointed with the packaging."
TICKET00037,Technical Issue,"Nothing is working today, this is the worst experience I've had."
TICKET00038,Shipping/Delivery,"This delay is unacceptable, I needed this for an event."
TICKET00039,General Inquiry,"Loved the recent update, just wanted to say the new dashboard looks great."
TICKET00040,Shipping/Delivery,Can you tell me when my order will actually ship?
TICKET00041,Billing,This is the third time I've been overcharged. Extremely frustrating.
TICKET00042,Shipping/Delivery,My order was supposed to arrive three days ago and there's no update.
TICKET00043,Account Access,I can't access my account from my new phone.
TICKET00044,Shipping/Delivery,Tracking says delivered but I never received anything.
TICKET00045,Shipping/Delivery,"This delay is unacceptable, I needed this for an event."
TICKET00046,General Inquiry,Just wanted to ask about your return policy before I buy.
TICKET00047,General Inquiry,What are your customer support hours on weekends?
TICKET00048,Technical Issue,The website has been down for me since this morning.
TICKET00049,General Inquiry,"Loved the recent update, just wanted to say the new dashboard looks great."
TICKET00050,Technical Issue,"I can't upload files anymore, getting an error message constantly."
TICKET00051,Account Access,I forgot my password and the reset link isn't arriving in my email.
TICKET00052,General Inquiry,"Thanks for the quick help earlier, just confirming the update went through."
TICKET00053,General Inquiry,Just wanted to ask about your return policy before I buy.
TICKET00054,Account Access,"Someone please unlock my account, I've been trying for an hour."
TICKET00055,Account Access,"Two-factor authentication code never arrives, I'm stuck."
TICKET00056,Technical Issue,The website has been down for me since this morning.
TICKET00057,Technical Issue,"I can't upload files anymore, getting an error message constantly."
TICKET00058,General Inquiry,Do you offer student discounts on annual plans?
TICKET00059,Billing,This is the third time I've been overcharged. Extremely frustrating.
TICKET00060,Technical Issue,"Nothing is working today, this is the worst experience I've had."
TICKET00061,Shipping/Delivery,"This delay is unacceptable, I needed this for an event."
TICKET00062,Technical Issue,"Login page won't load, tried on two browsers already."
TICKET00063,Billing,"My invoice shows an incorrect amount, can someone check this?"
TICKET00064,Shipping/Delivery,"This delay is unacceptable, I needed this for an event."
TICKET00065,Billing,I need a receipt for last month's payment for my records.
TICKET00066,Technical Issue,"Nothing is working today, this is the worst experience I've had."
TICKET00067,General Inquiry,"Loved the recent update, just wanted to say the new dashboard looks great."
TICKET00068,Account Access,"My account got locked after too many login attempts, please help."
TICKET00069,Shipping/Delivery,Can you tell me when my order will actually ship?
TICKET00070,Account Access,"Two-factor authentication code never arrives, I'm stuck."
TICKET00071,Billing,I need a receipt for last month's payment for my records.
TICKET00072,Billing,"My invoice shows an incorrect amount, can someone check this?"
TICKET00073,Billing,This is the third time I've been overcharged. Extremely frustrating.
TICKET00074,Shipping/Delivery,"The package arrived damaged, very disappointed with the packaging."
TICKET00075,Account Access,I forgot my password and the reset link isn't arriving in my email.
TICKET00076,Account Access,I forgot my password and the reset link isn't arriving in my email.
TICKET00077,Account Access,"My account got locked after too many login attempts, please help."
TICKET00078,Technical Issue,"Login page won't load, tried on two browsers already."
TICKET00079,Technical Issue,"The app keeps crashing every time I try to log in, this is really annoying."
TICKET00080,Billing,"My invoice shows an incorrect amount, can someone check this?"
TICKET00081,Technical Issue,"I can't upload files anymore, getting an error message constantly."
TICKET00082,Shipping/Delivery,Tracking says delivered but I never received anything.
TICKET00083,Billing,Why is my bill higher than usual? I did not change my plan.
TICKET00084,Account Access,"Two-factor authentication code never arrives, I'm stuck."
TICKET00085,Account Access,"Someone please unlock my account, I've been trying for an hour."
TICKET00086,General Inquiry,Just wanted to ask about your return policy before I buy.
TICKET00087,Technical Issue,"Nothing is working today, this is the worst experience I've had."
TICKET00088,Technical Issue,"Nothing is working today, this is the worst experience I've had."
TICKET00089,Shipping/Delivery,Tracking says delivered but I never received anything.
TICKET00090,General Inquiry,Do you offer student discounts on annual plans?
TICKET00091,Billing,Why is my bill higher than usual? I did not change my plan.
TICKET00092,General Inquiry,Just wanted to ask about your return policy before I buy.
TICKET00093,Billing,This is the third time I've been overcharged. Extremely frustrating.
TICKET00094,Technical Issue,"The app keeps crashing every time I try to log in, this is really annoying."
TICKET00095,Account Access,I forgot my password and the reset link isn't arriving in my email.
TICKET00096,Shipping/Delivery,My order was supposed to arrive three days ago and there's no update.
TICKET00097,Technical Issue,"Login page won't load, tried on two browsers already."
TICKET00098,Account Access,I forgot my password and the reset link isn't arriving in my email.
TICKET00099,Billing,This is the third time I've been overcharged. Extremely frustrating.
TICKET00100,General Inquiry,What are your customer support hours on weekends?
TICKET00101,Technical Issue,The website has been down for me since this morning.
TICKET00102,General Inquiry,Just wanted to ask about your return policy before I buy.
TICKET00103,General Inquiry,"Thanks for the quick help earlier, just confirming the update went through."
TICKET00104,Account Access,I forgot my password and the reset link isn't arriving in my email.
TICKET00105,Shipping/Delivery,"The package arrived damaged, very disappointed with the packaging."
TICKET00106,Billing,I need a receipt for last month's payment for my records.
TICKET00107,Technical Issue,The website has been down for me since this morning.
TICKET00108,Billing,"My invoice shows an incorrect amount, can someone check this?"
TICKET00109,Shipping/Delivery,Can you tell me when my order will actually ship?
TICKET00110,General Inquiry,What are your customer support hours on weekends?
TICKET00111,Technical Issue,"Nothing is working today, this is the worst experience I've had."
TICKET00112,Shipping/Delivery,"This delay is unacceptable, I needed this for an event."
TICKET00113,Billing,"My invoice shows an incorrect amount, can someone check this?"
TICKET00114,Account Access,I can't access my account from my new phone.
TICKET00115,Billing,This is the third time I've been overcharged. Extremely frustrating.
TICKET00116,Shipping/Delivery,"The package arrived damaged, very disappointed with the packaging."
TICKET00117,Billing,This is the third time I've been overcharged. Extremely frustrating.
TICKET00118,Technical Issue,"The app keeps crashing every time I try to log in, this is really annoying."
TICKET00119,Account Access,"Two-factor authentication code never arrives, I'm stuck."
TICKET00120,General Inquiry,"Loved the recent update, just wanted to say the new dashboard looks great."
TICKET00121,General Inquiry,What are your customer support hours on weekends?
TICKET00122,Technical Issue,The website has been down for me since this morning.
TICKET00123,Billing,Why is my bill higher than usual? I did not change my plan.
TICKET00124,Technical Issue,The website has been down for me since this morning.
TICKET00125,Billing,Why is my bill higher than usual? I did not change my plan.
TICKET00126,General Inquiry,"Thanks for the quick help earlier, just confirming the update went through."
TICKET00127,General Inquiry,Just wanted to ask about your return policy before I buy.
TICKET00128,Shipping/Delivery,Can you tell me when my order will actually ship?
TICKET00129,Billing,This is the third time I've been overcharged. Extremely frustrating.
TICKET00130,Billing,"My invoice shows an incorrect amount, can someone check this?"
TICKET00131,General Inquiry,"Thanks for the quick help earlier, just confirming the update went through."
TICKET00132,Technical Issue,"I can't upload files anymore, getting an error message constantly."
TICKET00133,Shipping/Delivery,"This delay is unacceptable, I needed this for an event."
TICKET00134,Billing,I need a receipt for last month's payment for my records.
TICKET00135,General Inquiry,Just wanted to ask about your return policy before I buy.
TICKET00136,General Inquiry,Do you offer student discounts on annual plans?
TICKET00137,Account Access,"Someone please unlock my account, I've been trying for an hour."
TICKET00138,Shipping/Delivery,"This delay is unacceptable, I needed this for an event."
TICKET00139,Billing,I need a receipt for last month's payment for my records.
TICKET00140,Shipping/Delivery,Tracking says delivered but I never received anything.
TICKET00141,Shipping/Delivery,"The package arrived damaged, very disappointed with the packaging."
TICKET00142,Technical Issue,"The app keeps crashing every time I try to log in, this is really annoying."
TICKET00143,General Inquiry,"Thanks for the quick help earlier, just confirming the update went through."
TICKET00144,Account Access,"Someone please unlock my account, I've been trying for an hour."
TICKET00145,Shipping/Delivery,"The package arrived damaged, very disappointed with the packaging."
TICKET00146,Account Access,I forgot my password and the reset link isn't arriving in my email.
TICKET00147,Billing,"I was charged twice for my subscription this month, please refund the extra charge."
TICKET00148,General Inquiry,Do you offer student discounts on annual plans?
TICKET00149,Account Access,"Someone please unlock my account, I've been trying for an hour."
TICKET00150,General Inquiry,Just wanted to ask about your return policy before I buy.
TICKET00151,Account Access,"My account got locked after too many login attempts, please help."
TICKET00152,Shipping/Delivery,"The package arrived damaged, very disappointed with the packaging."
TICKET00153,Billing,"My invoice shows an incorrect amount, can someone check this?"
TICKET00154,Shipping/Delivery,Can you tell me when my order will actually ship?
TICKET00155,Shipping/Delivery,Tracking says delivered but I never received anything.
TICKET00156,General Inquiry,"Thanks for the quick help earlier, just confirming the update went through."
TICKET00157,Billing,Why is my bill higher than usual? I did not change my plan.
TICKET00158,General Inquiry,Do you offer student discounts on annual plans?
TICKET00159,Billing,Why is my bill higher than usual? I did not change my plan.
TICKET00160,Billing,Why is my bill higher than usual? I did not change my plan.
TICKET00161,Account Access,"Two-factor authentication code never arrives, I'm stuck."
TICKET00162,Shipping/Delivery,"The package arrived damaged, very disappointed with the packaging."
TICKET00163,General Inquiry,"Loved the recent update, just wanted to say the new dashboard looks great."
TICKET00164,Technical Issue,"I can't upload files anymore, getting an error message constantly."
TICKET00165,Technical Issue,"Nothing is working today, this is the worst experience I've had."
TICKET00166,Billing,This is the third time I've been overcharged. Extremely frustrating.
TICKET00167,Account Access,"Two-factor authentication code never arrives, I'm stuck."
TICKET00168,Shipping/Delivery,Can you tell me when my order will actually ship?
TICKET00169,Account Access,"Two-factor authentication code never arrives, I'm stuck."
TICKET00170,Shipping/Delivery,Tracking says delivered but I never received anything.
TICKET00171,General Inquiry,Do you offer student discounts on annual plans?
TICKET00172,Billing,I need a receipt for last month's payment for my records.
TICKET00173,Account Access,I can't access my account from my new phone.
TICKET00174,Billing,"My invoice shows an incorrect amount, can someone check this?"
TICKET00175,Shipping/Delivery,Tracking says delivered but I never received anything.
TICKET00176,Account Access,I can't access my account from my new phone.
TICKET00177,General Inquiry,What are your customer support hours on weekends?
TICKET00178,General Inquiry,Just wanted to ask about your return policy before I buy.
TICKET00179,Account Access,I can't access my account from my new phone.
TICKET00180,Billing,Why is my bill higher than usual? I did not change my plan.
TICKET00181,Billing,Why is my bill higher than usual? I did not change my plan.
TICKET00182,Billing,This is the third time I've been overcharged. Extremely frustrating.
TICKET00183,Billing,This is the third time I've been overcharged. Extremely frustrating.
TICKET00184,Technical Issue,"Nothing is working today, this is the worst experience I've had."
TICKET00185,General Inquiry,Do you offer student discounts on annual plans?
TICKET00186,Billing,"My invoice shows an incorrect amount, can someone check this?"
TICKET00187,Billing,Why is my bill higher than usual? I did not change my plan.
TICKET00188,Account Access,I forgot my password and the reset link isn't arriving in my email.
TICKET00189,Account Access,"Two-factor authentication code never arrives, I'm stuck."
TICKET00190,General Inquiry,Do you offer student discounts on annual plans?
TICKET00191,Account Access,I forgot my password and the reset link isn't arriving in my email.
TICKET00192,Billing,Why is my bill higher than usual? I did not change my plan.
TICKET00193,Shipping/Delivery,"This delay is unacceptable, I needed this for an event."
TICKET00194,Technical Issue,"Login page won't load, tried on two browsers already."
TICKET00195,Billing,This is the third time I've been overcharged. Extremely frustrating.
TICKET00196,General Inquiry,What are your customer support hours on weekends?
TICKET00197,Shipping/Delivery,My order was supposed to arrive three days ago and there's no update.
TICKET00198,Shipping/Delivery,"This delay is unacceptable, I needed this for an event."
TICKET00199,General Inquiry,"Thanks for the quick help earlier, just confirming the update went through."
TICKET00200,Technical Issue,The website has been down for me since this morning.
TICKET00201,Account Access,I forgot my password and the reset link isn't arriving in my email.
TICKET00202,Account Access,"My account got locked after too many login attempts, please help."
TICKET00203,Billing,"I was charged twice for my subscription this month, please refund the extra charge."
TICKET00204,General Inquiry,What are your customer support hours on weekends?
TICKET00205,Billing,This is the third time I've been overcharged. Extremely frustrating.
TICKET00206,General Inquiry,"Loved the recent update, just wanted to say the new dashboard looks great."
TICKET00207,Billing,"I was charged twice for my subscription this month, please refund the extra charge."
TICKET00208,Account Access,"Someone please unlock my account, I've been trying for an hour."
TICKET00209,Billing,This is the third time I've been overcharged. Extremely frustrating.
TICKET00210,Shipping/Delivery,Tracking says delivered but I never received anything.
TICKET00211,General Inquiry,Do you offer student discounts on annual plans?
TICKET00212,Technical Issue,"Nothing is working today, this is the worst experience I've had."
TICKET00213,Technical Issue,"I can't upload files anymore, getting an error message constantly."
TICKET00214,Account Access,"Someone please unlock my account, I've been trying for an hour."
TICKET00215,Billing,"My invoice shows an incorrect amount, can someone check this?"
TICKET00216,General Inquiry,Just wanted to ask about your return policy before I buy.
TICKET00217,Account Access,I can't access my account from my new phone.
TICKET00218,Shipping/Delivery,"The package arrived damaged, very disappointed with the packaging."
TICKET00219,Billing,"I was charged twice for my subscription this month, please refund the extra charge."
TICKET00220,General Inquiry,Just wanted to ask about your return policy before I buy.
TICKET00221,Account Access,"My account got locked after too many login attempts, please help."
TICKET00222,Technical Issue,The website has been down for me since this morning.
TICKET00223,Account Access,I forgot my password and the reset link isn't arriving in my email.
TICKET00224,General Inquiry,Do you offer student discounts on annual plans?
TICKET00225,Account Access,I can't access my account from my new phone.
TICKET00226,General Inquiry,"Loved the recent update, just wanted to say the new dashboard looks great."
TICKET00227,General Inquiry,What are your customer support hours on weekends?
TICKET00228,Technical Issue,"I can't upload files anymore, getting an error message constantly."
TICKET00229,Billing,"My invoice shows an incorrect amount, can someone check this?"
TICKET00230,Billing,Why is my bill higher than usual? I did not change my plan.
TICKET00231,General Inquiry,"Thanks for the quick help earlier, just confirming the update went through."
TICKET00232,Shipping/Delivery,"The package arrived damaged, very disappointed with the packaging."
TICKET00233,General Inquiry,Just wanted to ask about your return policy before I buy.
TICKET00234,Shipping/Delivery,Can you tell me when my order will actually ship?
TICKET00235,Shipping/Delivery,"This delay is unacceptable, I needed this for an event."
TICKET00236,Technical Issue,"I can't upload files anymore, getting an error message constantly."
TICKET00237,Account Access,"Two-factor authentication code never arrives, I'm stuck."
TICKET00238,Technical Issue,"I can't upload files anymore, getting an error message constantly."
TICKET00239,Billing,I need a receipt for last month's payment for my records.
TICKET00240,Billing,I need a receipt for last month's payment for my records.
TICKET00241,Account Access,I can't access my account from my new phone.
TICKET00242,Account Access,"Someone please unlock my account, I've been trying for an hour."
TICKET00243,Technical Issue,"Nothing is working today, this is the worst experience I've had."
TICKET00244,Technical Issue,"Nothing is working today, this is the worst experience I've had."
TICKET00245,Technical Issue,"Login page won't load, tried on two browsers already."
TICKET00246,Account Access,"Someone please unlock my account, I've been trying for an hour."
TICKET00247,Billing,"I was charged twice for my subscription this month, please refund the extra charge."
TICKET00248,Account Access,"Two-factor authentication code never arrives, I'm stuck."
TICKET00249,Billing,This is the third time I've been overcharged. Extremely frustrating.
TICKET00250,General Inquiry,"Loved the recent update, just wanted to say the new dashboard looks great."
TICKET00251,Billing,This is the third time I've been overcharged. Extremely frustrating.
TICKET00252,Account Access,I forgot my password and the reset link isn't arriving in my email.
TICKET00253,Shipping/Delivery,Can you tell me when my order will actually ship?
TICKET00254,Technical Issue,"The app keeps crashing every time I try to log in, this is really annoying."
TICKET00255,Billing,I need a receipt for last month's payment for my records.
TICKET00256,General Inquiry,What are your customer support hours on weekends?
TICKET00257,Billing,Why is my bill higher than usual? I did not change my plan.
TICKET00258,Technical Issue,"Login page won't load, tried on two browsers already."
TICKET00259,Account Access,"Someone please unlock my account, I've been trying for an hour."
TICKET00260,Technical Issue,The website has been down for me since this morning.
TICKET00261,General Inquiry,"Loved the recent update, just wanted to say the new dashboard looks great."
TICKET00262,Account Access,"My account got locked after too many login attempts, please help."
TICKET00263,Technical Issue,"Nothing is working today, this is the worst experience I've had."
TICKET00264,Technical Issue,The website has been down for me since this morning.
TICKET00265,Technical Issue,"I can't upload files anymore, getting an error message constantly."
TICKET00266,Account Access,I forgot my password and the reset link isn't arriving in my email.
TICKET00267,Billing,I need a receipt for last month's payment for my records.
TICKET00268,Account Access,"My account got locked after too many login attempts, please help."
