ticket_id,category,ticket_text
TICKET00532,Shipping/Delivery,My order was supposed to arrive three days ago and there's no update.
TICKET00533,Shipping/Delivery,My order was supposed to arrive three days ago and there's no update.
TICKET00534,General Inquiry,Just wanted to ask about your return policy before I buy.
TICKET00535,Billing,"I was charged twice for my subscription this month, please refund the extra charge."
TICKET00536,Billing,I need a receipt for last month's payment for my records.
TICKET00537,Account Access,I can't access my account from my new phone.
TICKET00538,Technical Issue,"Nothing is working today, this is the worst experience I've had."
TICKET00539,Technical Issue,The website has been down for me since this morning.
TICKET00540,Technical Issue,"Nothing is working today, this is the worst experience I've had."
TICKET00541,Account Access,I forgot my password and the reset link isn't arriving in my email.
TICKET00542,Account Access,"My account got locked after too many login attempts, please help."
TICKET00543,Billing,Why is my bill higher than usual? I did not change my plan.
TICKET00544,Billing,"I was charged twice for my subscription this month, please refund the extra charge."
TICKET00545,Technical Issue,"Nothing is working today, this is the worst experience I've had."
TICKET00546,Account Access,I can't access my account from my new phone.
TICKET00547,Technical Issue,"Login page won't load, tried on two browsers already."
TICKET00548,Account Access,"My account got locked after too many login attempts, please help."
TICKET00549,Shipping/Delivery,My order was supposed to arrive three days ago and there's no update.
TICKET00550,Shipping/Delivery,Tracking says delivered but I never received anything.
TICKET00551,Billing,I need a receipt for last month's payment for my records.
TICKET00552,Technical Issue,"Login page won't load, tried on two browsers already."
TICKET00553,Technical Issue,"The app keeps crashing every time I try to log in, this is really annoying."
TICKET00554,Billing,I need a receipt for last month's payment for my records.
TICKET00555,General Inquiry,"Thanks for the quick help earlier, just confirming the update went through."
TICKET00556,General Inquiry,"Thanks for the quick help earlier, just confirming the update went through."
TICKET00557,Billing,Why is my bill higher than usual? I did not change my plan.
TICKET00558,Billing,This is the third time I've been overcharged. Extremely frustrating.
TICKET00559,General Inquiry,Just wanted to ask about your return policy before I buy.
TICKET00560,Account Access,"My account got locked after too many login attempts, please help."
TICKET00561,Account Access,"Someone please unlock my account, I've been trying for an hour."
TICKET00562,Billing,"My invoice shows an incorrect amount, can someone check this?"
TICKET00563,Billing,This is the third time I've been overcharged. Extremely frustrating.
TICKET00564,General Inquiry,Just wanted to ask about your return policy before I buy.
TICKET00565,General Inquiry,Just wanted to ask about your return policy before I buy.
TICKET00566,Account Access,"Someone please unlock my account, I've been trying for an hour."
TICKET00567,Technical Issue,The website has been down for me since this morning.
TICKET00568,General Inquiry,What are your customer support hours on weekends?
TICKET00569,Account Access,I forgot my password and the reset link isn't arriving in my email.
TICKET00570,Technical Issue,"The app keeps crashing every time I try to log in, this is really annoying."
TICKET00571,Billing,Why is my bill higher than usual? I did not change my plan.
TICKET00572,Shipping/Delivery,"The package arrived damaged, very disappointed with the packaging."
TICKET00573,Account Access,I forgot my password and the reset link isn't arriving in my email.
TICKET00574,Technical Issue,"Nothing is working today, this is the worst experience I've had."
TICKET00575,Technical Issue,"Login page won't load, tried on two browsers already."
TICKET00576,Billing,Why is my bill higher than usual? I did not change my plan.
TICKET00577,Account Access,"Someone please unlock my account, I've been trying for an hour."
TICKET00578,Technical Issue,"Nothing is working today, this is the worst experience I've had."
TICKET00579,Shipping/Delivery,My order was supposed to arrive three days ago and there's no update.
TICKET00580,General Inquiry,Just wanted to ask about your return policy before I buy.
TICKET00581,General Inquiry,What are your customer support hours on weekends?
TICKET00582,General Inquiry,What are your customer support hours on weekends?
TICKET00583,Billing,"I was charged twice for my subscription this month, please refund the extra charge."
TICKET00584,Account Access,"Someone please unlock my account, I've been trying for an hour."
TICKET00585,Account Access,I can't access my account from my new phone.
TICKET00586,General Inquiry,Do you offer student discounts on annual plans?
TICKET00587,General Inquiry,Do you offer student discounts on annual plans?
TICKET00588,Billing,Why is my bill higher than usual? I did not change my plan.
TICKET00589,Billing,"I was charged twice for my subscription this month, please refund the extra charge."
TICKET00590,Account Access,I forgot my password and the reset link isn't arriving in my email.
TICKET00591,General Inquiry,What are your customer support hours on weekends?
TICKET00592,Account Access,I can't access my account from my new phone.
TICKET00593,General Inquiry,"Loved the recent update, just wanted to say the new dashboard looks great."
TICKET00594,Technical Issue,"Login page won't load, tried on two browsers already."
TICKET00595,Billing,"My invoice shows an incorrect amount, can someone check this?"
TICKET00596,Technical Issue,"Nothing is working today, this is the worst experience I've had."
TICKET00597,General Inquiry,"Loved the recent update, just wanted to say the new dashboard looks great."
TICKET00598,Shipping/Delivery,My order was supposed to arrive three days ago and there's no update.
TICKET00599,Billing,I need a receipt for last month's payment for my records.
TICKET00600,General Inquiry,Do you offer student discounts on annual plans?
TICKET00601,Technical Issue,The website has been down for me since this morning.
TICKET00602,Technical Issue,The website has been down for me since this morning.
TICKET00603,Account Access,I can't access my account from my new phone.
TICKET00604,General Inquiry,What are your customer support hours on weekends?
TICKET00605,General Inquiry,"Loved the recent update, just wanted to say the new dashboard looks great."
TICKET00606,Technical Issue,"Nothing is working today, this is the worst experience I've had."
TICKET00607,Billing,"My invoice shows an incorrect amount, can someone check this?"
TICKET00608,Technical Issue,The website has been down for me since this morning.
TICKET00609,Shipping/Delivery,"The package arrived damaged, very disappointed with the packaging."
TICKET00610,Billing,"My invoice shows an incorrect amount, can someone check this?"
TICKET00611,Account Access,"Someone please unlock my account, I've been trying for an hour."
TICKET00612,Billing,"I was charged twice for my subscription this month, please refund the extra charge."
TICKET00613,Shipping/Delivery,"The package arrived damaged, very disappointed with the packaging."
TICKET00614,Billing,"My invoice shows an incorrect amount, can someone check this?"
TICKET00615,Billing,"I was charged twice for my subscription this month, please refund the extra charge."
TICKET00616,Account Access,I can't access my account from my new phone.
TICKET00617,Account Access,"Two-factor authentication code never arrives, I'm stuck."
TICKET00618,General Inquiry,What are your customer support hours on weekends?
TICKET00619,General Inquiry,"Thanks for the quick help earlier, just confirming the update went through."
TICKET00620,Billing,I need a receipt for last month's payment for my records.
TICKET00621,Technical Issue,"The app keeps crashing every time I try to log in, this is really annoying."
TICKET00622,Technical Issue,"I can't upload files anymore, getting an error message constantly."
TICKET00623,Technical Issue,"Nothing is working today, this is the worst experience I've had."
TICKET00624,Billing,This is the third time I've been overcharged. Extremely frustrating.
TICKET00625,Shipping/Delivery,Can you tell me when my order will actually ship?
TICKET00626,Technical Issue,The website has been down for me since this morning.
TICKET00627,Shipping/Delivery,"The package arrived damaged, very disappointed with the packaging."
TICKET00628,Shipping/Delivery,My order was supposed to arrive three days ago and there's no update.
TICKET00629,Account Access,"Someone please unlock my account, I've been trying for an hour."
TICKET00630,Account Access,"Someone please unlock my account, I've been trying for an hour."
TICKET00631,Account Access,I forgot my password and the reset link isn't arriving in my email.
TICKET00632,General Inquiry,What are your customer support hours on weekends?
TICKET00633,General Inquiry,Just wanted to ask about your return policy before I buy.
TICKET00634,Account Access,I forgot my password and the reset link isn't arriving in my email.
TICKET00635,Account Access,"Someone please unlock my account, I've been trying for an hour."
TICKET00636,Billing,I need a receipt for last month's payment for my records.
TICKET00637,Billing,"My invoice shows an incorrect amount, can someone check this?"
TICKET00638,Shipping/Delivery,Tracking says delivered but I never received anything.
TICKET00639,Technical Issue,"The app keeps crashing every time I try to log in, this is really annoying."
TICKET00640,Account Access,"My account got locked after too many login attempts, please help."
TICKET00641,Shipping/Delivery,"This delay is unacceptable, I needed this for an event."
TICKET00642,Shipping/Delivery,Tracking says delivered but I never received anything.
TICKET00643,Billing,Why is my bill higher than usual? I did not change my plan.
TICKET00644,Technical Issue,"Nothing is working today, this is the worst experience I've had."
TICKET00645,Shipping/Delivery,My order was supposed to arrive three days ago and there's no update.
TICKET00646,Technical Issue,The website has been down for me since this morning.
TICKET00647,Technical Issue,"The app keeps crashing every time I try to log in, this is really annoying."
TICKET00648,Shipping/Delivery,"The package arrived damaged, very disappointed with the packaging."
TICKET00649,General Inquiry,"Thanks for the quick help earlier, just confirming the update went through."
TICKET00650,Account Access,"Someone please unlock my account, I've been trying for an hour."
TICKET00651,Account Access,"Someone please unlock my account, I've been trying for an hour."
TICKET00652,Account Access,"My account got locked after too many login attempts, please help."
TICKET00653,Account Access,I can't access my account from my new phone.
TICKET00654,Billing,This is the third time I've been overcharged. Extremely frustrating.
TICKET00655,Technical Issue,The website has been down for me since this morning.
TICKET00656,General Inquiry,Do you offer student discounts on annual plans?
TICKET00657,Technical Issue,"The app keeps crashing every time I try to log in, this is really annoying."
TICKET00658,Shipping/Delivery,"The package arrived damaged, very disappointed with the packaging."
TICKET00659,General Inquiry,Just wanted to ask about your return policy before I buy.
TICKET00660,Billing,"My invoice shows an incorrect amount, can someone check this?"
TICKET00661,General Inquiry,"Loved the recent update, just wanted to say the new dashboard looks great."
TICKET00662,Technical Issue,The website has been down for me since this morning.
TICKET00663,General Inquiry,Just wanted to ask about your return policy before I buy.
TICKET00664,Shipping/Delivery,"The package arrived damaged, very disappointed with the packaging."
TICKET00665,Technical Issue,"The app keeps crashing every time I try to log in, this is really annoying."
TICKET00666,Technical Issue,The website has been down for me since this morning.
TICKET00667,Shipping/Delivery,"The package arrived damaged, very disappointed with the packaging."
TICKET00668,Account Access,I forgot my password and the reset link isn't arriving in my email.
TICKET00669,Billing,Why is my bill higher than usual? I did not change my plan.
TICKET00670,General Inquiry,Just wanted to ask about your return policy before I buy.
TICKET00671,Account Access,I can't access my account from my new phone.
TICKET00672,Billing,"My invoice shows an incorrect amount, can someone check this?"
TICKET00673,Shipping/Delivery,"The package arrived damaged, very disappointed with the packaging."
TICKET00674,Billing,"I was charged twice for my subscription this month, please refund the extra charge."
TICKET00675,Technical Issue,"I can't upload files anymore, getting an error message constantly."
TICKET00676,Billing,Why is my bill higher than usual? I did not change my plan.
TICKET00677,General Inquiry,What are your customer support hours on weekends?
TICKET00678,Account Access,"My account got locked after too many login attempts, please help."
TICKET00679,Shipping/Delivery,"This delay is unacceptable, I needed this for an event."
TICKET00680,Billing,I need a receipt for last month's payment for my records.
TICKET00681,Shipping/Delivery,Can you tell me when my order will actually ship?
TICKET00682,Shipping/Delivery,Can you tell me when my order will actually ship?
TICKET00683,General Inquiry,Do you offer student discounts on annual plans?
TICKET00684,Account Access,"Someone please unlock my account, I've been trying for an hour."
TICKET00685,Technical Issue,"Nothing is working today, this is the worst experience I've had."
TICKET00686,General Inquiry,"Loved the recent update, just wanted to say the new dashboard looks great."
TICKET00687,Account Access,"Two-factor authentication code never arrives, I'm stuck."
TICKET00688,Billing,I need a receipt for last month's payment for my records.
TICKET00689,General Inquiry,Just wanted to ask about your return policy before I buy.
TICKET00690,Account Access,I can't access my account from my new phone.
TICKET00691,Billing,Why is my bill higher than usual? I did not change my plan.
TICKET00692,Account Access,I forgot my password and the reset link isn't arriving in my email.
TICKET00693,Shipping/Delivery,Tracking says delivered but I never received anything.
TICKET00694,Technical Issue,"Nothing is working today, this is the worst experience I've had."
TICKET00695,Account Access,"My account got locked after too many login attempts, please help."
TICKET00696,Technical Issue,"Nothing is working today, this is the worst experience I've had."
TICKET00697,Technical Issue,"I can't upload files anymore, getting an error message constantly."
TICKET00698,Shipping/Delivery,Can you tell me when my order will actually ship?
TICKET00699,Billing,Why is my bill higher than usual? I did not change my plan.
TICKET00700,Account Access,I can't access my account from my new phone.
TICKET00701,Shipping/Delivery,"This delay is unacceptable, I needed this for an event."
TICKET00702,Account Access,"Two-factor authentication code never arrives, I'm stuck."
TICKET00703,Technical Issue,"The app keeps crashing every time I try to log in, this is really annoying."
TICKET00704,Billing,"My invoice shows an incorrect amount, can someone check this?"
TICKET00705,Account Access,"My account got locked after too many login attempts, please help."
TICKET00706,General Inquiry,"Loved the recent update, just wanted to say the new dashboard looks great."
TICKET00707,Technical Issue,The website has been down for me since this morning.
TICKET00708,Technical Issue,The website has been down for me since this morning.
TICKET00709,Account Access,I can't access my account from my new phone.
TICKET00710,Shipping/Delivery,My order was supposed to arrive three days ago and there's no update.
TICKET00711,Account Access,I can't access my account from my new phone.
TICKET00712,General Inquiry,Just wanted to ask about your return policy before I buy.
TICKET00713,Shipping/Delivery,My order was supposed to arrive three days ago and there's no update.
TICKET00714,Billing,Why is my bill higher than usual? I did not change my plan.
TICKET00715,Billing,This is the third time I've been overcharged. Extremely frustrating.
TICKET00716,Billing,"My invoice shows an incorrect amount, can someone check this?"
TICKET00717,Billing,I need a receipt for last month's payment for my records.
TICKET00718,Account Access,"Two-factor authentication code never arrives, I'm stuck."
TICKET00719,General Inquiry,What are your customer support hours on weekends?
TICKET00720,Shipping/Delivery,Can you tell me when my order will actually ship?
TICKET00721,Technical Issue,"Login page won't load, tried on two browsers already."
TICKET00722,Technical Issue,"Login page won't load, tried on two browsers already."
TICKET00723,Technical Issue,"Nothing is working today, this is the worst experience I've had."
TICKET00724,General Inquiry,Just wanted to ask about your return policy before I buy.
TICKET00725,Billing,Why is my bill higher than usual? I did not change my plan.
TICKET00726,Account Access,"Someone please unlock my account, I've been trying for an hour."
TICKET00727,Technical Issue,"Nothing is working today, this is the worst experience I've had."
TICKET00728,Technical Issue,"Nothing is working today, this is the worst experience I've had."
TICKET00729,Account Access,I forgot my password and the reset link isn't arriving in my email.
TICKET00730,Account Access,"My account got locked after too many login attempts, please help."
TICKET00731,Technical Issue,"The app keeps crashing every time I try to log in, this is really annoying."
TICKET00732,Technical Issue,"Login page won't load, tried on two browsers already."
TICKET00733,Technical Issue,"I can't upload files anymore, getting an error message constantly."
TICKET00734,Account Access,"My account got locked after too many login attempts, please help."
TICKET00735,Billing,"I was charged twice for my subscription this month, please refund the extra charge."
TICKET00736,Shipping/Delivery,"The package arrived damaged, very disappointed with the packaging."
TICKET00737,Account Access,I can't access my account from my new phone.
TICKET00738,Technical Issue,The website has been down for me since this morning.
TICKET00739,Billing,Why is my bill higher than usual? I did not change my plan.
TICKET00740,Account Access,"Someone please unlock my account, I've been trying for an hour."
TICKET00741,Shipping/Delivery,"This delay is unacceptable, I needed this for an event."
TICKET00742,Billing,"I was charged twice for my subscription this month, please refund the extra charge."
TICKET00743,Account Access,I forgot my password and the reset link isn't arriving in my email.
TICKET00744,Billing,Why is my bill higher than usual? I did not change my plan.
TICKET00745,General Inquiry,"Thanks for the quick help earlier, just confirming the update went through."
TICKET00746,Shipping/Delivery,Can you tell me when my order will actually ship?
TICKET00747,Account Access,"My account got locked after too many login attempts, please help."
TICKET00748,Technical Issue,"Login page won't load, tried on two browsers already."
TICKET00749,General Inquiry,"Loved the recent update, just wanted to say the new dashboard looks great."
TICKET00750,Billing,"My invoice shows an incorrect amount, can someone check this?"
TICKET00751,Technical Issue,The website has been down for me since this morning.
TICKET00752,Technical Issue,"The app keeps crashing every time I try to log in, this is really annoying."
TICKET00753,Technical Issue,"Login page won't load, tried on two browsers already."
TICKET00754,General Inquiry,"Loved the recent update, just wanted to say the new dashboard looks great."
TICKET00755,Shipping/Delivery,Can you tell me when my order will actually ship?
TICKET00756,General Inquiry,Just wanted to ask about your return policy before I buy.
TICKET00757,Technical Issue,"Login page won't load, tried on two browsers already."
TICKET00758,Account Access,"Someone please unlock my account, I've been trying for an hour."
TICKET00759,Technical Issue,"I can't upload files anymore, getting an error message constantly."
TICKET00760,Account Access,"Two-factor authentication code never arrives, I'm stuck."
TICKET00761,Billing,Why is my bill higher than usual? I did not change my plan.
TICKET00762,Account Access,I forgot my password and the reset link isn't arriving in my email.
TICKET00763,Shipping/Delivery,"This delay is unacceptable, I needed this for an event."
TICKET00764,General Inquiry,What are your customer support hours on weekends?
TICKET00765,Technical Issue,The website has been down for me since this morning.
TICKET00766,Shipping/Delivery,"This delay is unacceptable, I needed this for an event."
TICKET00767,Billing,I need a receipt for last month's payment for my records.
TICKET00768,Technical Issue,"Login page won't load, tried on two browsers already."
TICKET00769,General Inquiry,What are your customer support hours on weekends?
TICKET00770,Shipping/Delivery,Tracking says delivered but I never received anything.
TICKET00771,Technical Issue,"I can't upload files anymore, getting an error message constantly."
TICKET00772,General Inquiry,Just wanted to ask about your return policy before I buy.
TICKET00773,Account Access,I forgot my password and the reset link isn't arriving in my email.
TICKET00774,General Inquiry,"Thanks for the quick help earlier, just confirming the update went through."
TICKET00775,Shipping/Delivery,"The package arrived damaged, very disappointed with the packaging."
TICKET00776,Shipping/Delivery,"This delay is unacceptable, I needed this for an event."
TICKET00777,Shipping/Delivery,My order was supposed to arrive three days ago and there's no update.
TICKET00778,Account Access,I can't access my account from my new phone.
TICKET00779,General Inquiry,Do you offer student discounts on annual plans?
TICKET00780,Account Access,I can't access my account from my new phone.
TICKET00781,Billing,"I was charged twice for my subscription this month, please refund the extra charge."
TICKET00782,Shipping/Delivery,Tracking says delivered but I never received anything.
TICKET00783,Billing,This is the third time I've been overcharged. Extremely frustrating.
TICKET00784,Technical Issue,"The app keeps crashing every time I try to log in, this is really annoying."
TICKET00785,Billing,"My invoice shows an incorrect amount, can someone check this?"
TICKET00786,Billing,"I was charged twice for my subscription this month, please refund the extra charge."
TICKET00787,Account Access,I forgot my password and the reset link isn't arriving in my email.
TICKET00788,Account Access,"My account got locked after too many login attempts, please help."
TICKET00789,Account Access,"Someone please unlock my account, I've been trying for an hour."
TICKET00790,Billing,"I was charged twice for my subscription this month, please refund the extra charge."
TICKET00791,General Inquiry,"Thanks for the quick help earlier, just confirming the update went through."
TICKET00792,Billing,"My invoice shows an incorrect amount, can someone check this?"
TICKET00793,Account Access,I forgot my password and the reset link isn't arriving in my email.
TICKET00794,Technical Issue,"I can't upload files anymore, getting an error message constantly."
TICKET00795,General Inquiry,What are your customer support hours on weekends?
TICKET00796,Technical Issue,"Nothing is working today, this is the worst experience I've had."
TICKET00797,Billing,I need a receipt for last month's payment for my records.
TICKET00798,Technical Issue,"The app keeps crashing every time I try to log in, this is really annoying."
TICKET00799,General Inquiry,"Loved the recent update, just wanted to say the new dashboard looks great."
